country,variable,percentile,year,value
BN,sptinc992j,p90p100,2019,0.3664
BN,sptinc992j,p90p100,2020,0.3664
BN,sptinc992j,p90p100,2021,0.364
BN,sptinc992j,p90p100,2022,0.364
BO,sptinc992j,p90p100,2000,0.5496
BO,sptinc992j,p90p100,2001,0.56
BO,sptinc992j,p90p100,2002,0.56
BO,sptinc992j,p90p100,2003,0.5617
BO,sptinc992j,p90p100,2004,0.5563
BO,sptinc992j,p90p100,2005,0.555
BO,sptinc992j,p90p100,2006,0.5525
BO,sptinc992j,p90p100,2007,0.5626
BO,sptinc992j,p90p100,2008,0.5593
BO,sptinc992j,p90p100,2009,0.5468
BO,sptinc992j,p90p100,2010,0.5459
BO,sptinc992j,p90p100,2011,0.5405
BO,sptinc992j,p90p100,2012,0.5316
BO,sptinc992j,p90p100,2013,0.5379
BO,sptinc992j,p90p100,2014,0.5298
BO,sptinc992j,p90p100,2015,0.5311
BO,sptinc992j,p90p100,2016,0.5337
BO,sptinc992j,p90p100,2017,0.5323
BO,sptinc992j,p90p100,2018,0.5323
BO,sptinc992j,p90p100,2019,0.5244
BO,sptinc992j,p90p100,2020,0.5385
BO,sptinc992j,p90p100,2021,0.5241
BO,sptinc992j,p90p100,2022,0.5241
BQ,sptinc992j,p90p100,2000,0.5494
BQ,sptinc992j,p90p100,2001,0.5477
BQ,sptinc992j,p90p100,2002,0.546
BQ,sptinc992j,p90p100,2003,0.5445
BQ,sptinc992j,p90p100,2004,0.543
BQ,sptinc992j,p90p100,2005,0.5416
BQ,sptinc992j,p90p100,2006,0.5403
BQ,sptinc992j,p90p100,2007,0.539
